label,Rx39,Ry39,Rz39,Ry40,Rz40,Ry41,Rz41,Ry42,Rz44,Rz45,Rz46,Rz48,Rz49,Rz50,Rz52,Rz53,Rz54,Rz56,Rz57,Rz58
3,36.319,9.245,19.3349,-9.80146,-46.9967,54.9317,0.890205,34.4382,-5.97798,9.38747,4.69374,-3.22026,-3.22026,-3.22026,-9.13418,-9.13418,-9.13418,-67.9108,-67.9108,-67.9108
1,-11.354,-13.2834,-59.7438,-13.0369,-57.2728,48.4572,-9.3861,-11.1285,-58.0221,-13.0537,-6.52685,4.80225,4.80225,4.80225,-87.5792,-87.5792,-87.5792,-56.3142,-56.3142,-56.3142
4,6.87877,-1.67077,-38.498,-45.4668,-39.9898,-16.397,7.8941,17.908,26.6677,55.4643,27.7321,9.42219,9.42219,9.42219,-61.4071,-61.4071,-61.4071,6.68323,6.68323,6.68323
1,20.7302,-13.5177,-15.1589,-25.5229,-47.4303,23.4898,0.45678,65.119,-77.4333,-49.3342,-24.6671,-7.75422,-7.75422,-7.75422,-66.5163,-66.5163,-66.5163,-70.1615,-70.1615,-70.1615
1,-1.39704,-20.1931,-51.3694,-19.1789,-64.5231,36.1741,-16.6388,-0.85079,-68.3281,-17.5426,-8.77129,-1.13349,-1.13349,-1.13349,-79.3839,-79.3839,-79.3839,-59.4063,-59.4063,-59.4063
2,-5.03719,-8.03735,-37.6734,-52.2454,-48.7558,-29.9583,-0.871538,20.2744,18.5393,34.2497,17.1249,-75.7936,-75.7936,-75.7936,-81.5981,-81.5981,-81.5981,-66.9101,-66.9101,-66.9101
1,17.4042,-11.3989,-24.4217,-27.0399,-54.3792,20.4557,-6.49211,66.4192,-62.2128,-39.7091,-19.8545,3.36249,3.36249,3.36249,-63.6903,-63.6903,-63.6903,-65.7369,-65.7369,-65.7369
4,22.2316,-10.7125,-19.1171,-45.6941,-29.2395,-16.8513,18.645,13.4599,8.45706,48.0043,24.0022,4.19716,4.19716,4.19716,6.78871,6.78871,6.78871,-63.5779,-63.5779,-63.5779
1,-11.113,-13.7882,-60.1613,-12.9916,-56.6497,48.5476,-8.76296,-10.2942,-58.7606,-12.1984,-6.0992,4.96666,4.96666,4.96666,-87.923,-87.923,-87.923,-56.1385,-56.1385,-56.1385
3,40.0222,-8.7327,19.2466,-12.3459,-53.2257,49.8424,-5.33873,29.0759,1.47251,18.1995,9.09976,-0.181308,-0.181308,-0.181308,-26.5059,-26.5059,-26.5059,-47.9424,-47.9424,-47.9424
3,-3.21756,32.1055,-36.6962,-28.2315,-58.6744,18.0739,-10.7874,16.4402,-77.4207,-69.8989,-34.9494,5.43532,5.43532,5.43532,7.54605,7.54605,7.54605,5.65346,5.65346,5.65346
4,-4.90482,-1.97217,-55.2668,-35.7422,-37.7597,3.05158,10.1235,16.374,31.8037,46.7274,23.3637,8.24445,8.24445,8.24445,-68.1207,-68.1207,-68.1207,5.26047,5.26047,5.26047
2,6.2413,-2.14382,-61.2138,-52.7516,-34.5565,-30.9691,13.3308,19.6494,-85.8307,-20.7118,-10.3559,-74.1447,-74.1447,-74.1447,-50.4771,-50.4771,-50.4771,15.2642,15.2642,15.2642
2,-5.73004,7.19509,-56.9502,-47.8135,-33.0308,-21.0908,14.8525,34.0654,-86.4942,-38.9737,-19.4869,-73.1082,-73.1082,-73.1082,-11.5392,-11.5392,-11.5392,-88.1203,-88.1203,-88.1203
4,2.99471,-24.0721,-16.2009,-37.2344,-34.9379,0.0648584,12.946,17.4691,-9.43349,38.2457,19.1228,-5.48874,-5.48874,-5.48874,-25.7979,-25.7979,-25.7979,-77.4107,-77.4107,-77.4107
2,-1.40789,19.849,-57.6559,-14.991,-16.1767,44.5537,31.707,11.2791,-132.451,-90.1897,-45.0948,-52.8393,-52.8393,-52.8393,10.0831,10.0831,10.0831,26.8838,26.8838,26.8838
1,9.12176,-9.64916,-41.1181,-19.9882,-61.7273,34.5566,-13.8432,-31.8654,-99.0064,-3.53527,-1.76764,-64.3829,-64.3829,-64.3829,-3.32876,-3.32876,-3.32876,-45.4065,-45.4065,-45.4065
4,4.8675,-0.314337,-39.5209,-44.7563,-40.8704,-14.976,7.0135,18.0252,23.9704,56.2731,28.1365,8.46359,8.46359,8.46359,-62.4748,-62.4748,-62.4748,6.89611,6.89611,6.89611
3,1.35955,12.937,-55.6674,-28.3501,-59.6732,17.8376,-11.7859,21.8543,-77.6762,-70.8976,-35.4488,3.48857,3.48857,3.48857,5.15463,5.15463,5.15463,2.89765,2.89765,2.89765
1,-3.77568,-9.40947,-38.0169,-19.7508,-51.9815,35.0331,-4.0943,55.7775,34.7296,1.24929,0.624643,-74.7983,-74.7983,-74.7983,-62.3097,-62.3097,-62.3097,-78.7614,-78.7614,-78.7614
1,14.4938,28.5382,-59.9724,-60.6517,-41.4613,-46.7709,6.42615,-2.19555,-86.2101,6.48105,3.24053,-80.036,-80.036,-80.036,-62.9901,-62.9901,-62.9901,-55.7599,-55.7599,-55.7599
2,-6.50044,2.18944,-41.5549,-6.45324,-29.1724,61.6261,18.7118,6.60031,-25.7503,40.1318,20.0659,-94.1286,-94.1286,-94.1286,-67.2903,-67.2903,-67.2903,8.1806,8.1806,8.1806
3,2.75064,24.6507,-43.6679,-26.946,-60.538,20.6452,-12.6508,14.8638,-79.2917,-58.6221,-29.311,10.3758,10.3758,10.3758,7.78274,7.78274,7.78274,-5.56198,-5.56198,-5.56198
1,10.2241,-8.57162,-42.4914,-26.967,-25.8444,20.6002,22.0427,58.6021,32.5958,50.1557,25.0778,-69.426,-69.426,-69.426,-77.5761,-77.5761,-77.5761,-68.8297,-68.8297,-68.8297
2,13.6199,-11.21,-45.6978,-62.4713,-39.733,-50.4083,8.15435,32.2072,-96.8696,-32.1536,-16.0768,2.5485,2.5485,2.5485,-85.7076,-85.7076,-85.7076,-57.3044,-57.3044,-57.3044
4,7.11288,-14.9524,-12.7149,-3.31931,-57.82,67.8966,-9.93294,1.28033,23.3751,10.477,5.23851,15.525,15.525,15.525,5.2493,5.2493,5.2493,18.9501,18.9501,18.9501
2,-4.93785,7.40539,-57.5337,-51.6469,-40.2027,-28.7576,7.68071,30.6953,-85.9758,-39.5684,-19.7842,-73.2123,-73.2123,-73.2123,-11.558,-11.558,-11.558,-88.9112,-88.9112,-88.9112
